z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,nuclide
55,78,Cs,4.8041,0.0046,100.0,,,0.0,,,7/2+,STABLE,,,,,,,,,,,,,,,,2.5778,0.0014,-0.00343,0.0001,-517.431,0.992,-7707.358,1.0532,-1988.6828,3.1534,-427.36,2.4,8989.5679,1.0359,6080.9396,0.0066,8409.9786,0.0003,132905451.958,0.008,-88070.943,0.008,N,1921.0,31-Oct-2010,YU. KHAZOV AND A. RODIONOV and  F.G. KONDEV,2023-10-18,133cs
55,79,Cs,4.8031,0.0046,,,,0.0,,,4+,2.0652,,4,Y,65171363.5227274,12622.7703898368,B-,99.9997,0.0001,EC,0.0003,0.0001,,,,,2.9893,0.0014,0.37,0.02,2058.8368,0.2508,-7408.9714,0.9921,-2379.8932,3.1537,1234.669,0.017,6891.5403,0.0144,6536.5533,2.4,8398.647,0.0003,133906718.501,0.017,-86891.165,0.016,N,1940.0,31-Jul-2004,A.A. Sonzogni,2023-10-18,134cs
55,80,Cs,4.8067,0.0047,,,,0.0,,,7/2+,2.3E+6,,3,Y,72580929741561.6,9467077792377.6,B-,100.0,,,,,,,,,2.7283,0.0013,0.048,0.003,268.6983,0.2862,-6703.2724,0.3021,-2564.1451,0.7055,-1168.591,3.686,8762.1093,0.3636,6745.0931,0.3635,8401.3393,0.0027,134905976.907,0.39,-87581.956,0.364,N,1949.0,22-Jan-2008,BALRAJ SINGH and  ALEXANDER A. RODIONOV and YURI L. KHAZOV,2023-10-18,135cs
55,81,Cs,4.8059,0.0052,,,,0.0,,,5+,13.01,,5,d,1124064.0,4320.0,B-,100.0,,,,,,,,,3.705,0.015,0.213,0.015,2548.2241,1.857,-6559.5183,1.8574,-3060.2693,4.4761,90.315,1.873,6828.2166,1.8792,7214.4613,4.1101,8389.7723,0.0138,135907311.431,2.01,-86338.855,1.873,N,1951.0,1-Apr-2018,E.A. MCCUTCHAN,2023-10-18,136cs
55,82,Cs,4.8128,0.005,,,,0.0,,,7/2+,30.08,,9,Y,949232333.3157274,2840123.33771328,B-,100.0,,,,,,,,,2.8374,0.0014,0.048,0.002,1175.6285,0.1723,-5730.0112,0.1854,-3113.3863,5.9096,-4162.358,0.319,8278.2353,1.8662,7405.5732,0.3022,8388.9581,0.0022,136907089.296,0.324,-86545.772,0.302,N,1951.0,1-Oct-2006,E. BROWNE and  J. K. TULI,2023-10-18,137cs
55,83,Cs,4.8255,0.005,,,,0.0,,,3-,32.5,,2,m,1950.0,12.0,B-,100.0,,,,,,,,,0.699,0.004,0.112,0.017,5374.7776,9.1584,-3236.9453,9.1584,-1268.5042,10.3665,-2914.784,9.578,4412.5739,9.16,7792.5851,9.159,8360.1437,0.0664,137911017.119,9.831,-82887.028,9.158,N,1943.0,30-Sep-2017,JUN CHEN,2023-10-18,138cs
55,84,Cs,4.8422,0.0069,,,,0.0,,,7/2+,9.27,,5,m,556.2,3.0,B-,100.0,,,,,,,,,2.688,0.004,-0.063,0.014,4212.8293,3.1235,-510.6007,3.1237,653.1754,3.749,-5056.502,3.796,5885.3783,9.6764,8017.8152,4.205,8342.3397,0.0225,138913363.822,3.364,-80701.088,3.134,N,1939.0,15-Oct-2016,P.K. JOSHI and  B. SINGH and  S. SINGH and  A.K. JAIN,2023-10-18,139cs
55,85,Cs,4.8554,0.0088,,,,0.0,,,1-,63.7,,3,s,63.7,0.3,B-,100.0,,,,,,,,,0.134,0.001,-0.094,0.015,6218.1669,9.8671,-207.1386,8.2027,70.5706,16.3866,-4063.277,8.523,4419.9679,8.7773,8694.1231,8.4742,8314.3227,0.0586,139917283.707,8.801,-77049.738,8.199,N,1950.0,20-Nov-2018,N. NICA,2023-10-18,140cs
55,86,Cs,4.8689,0.0108,,,,0.0,,,7/2+,24.84,,16,s,24.84,0.16,B-,100.0,,B-N,0.035,0.003,,,,,2.431,0.01,-0.42,0.07,5255.141,9.6174,719.236,11.6318,-545.9984,12.4431,-6280.042,9.638,5498.9309,12.1966,8779.8607,9.4853,8294.3554,0.0652,140920045.279,9.871,-74477.351,9.195,N,1962.0,1-Jan-2012,N. NICA,2023-10-18,141cs
55,87,Cs,4.8825,0.0132,,,,0.0,,,0-,1.684,,14,s,1.684,0.014,B-,100.0,,B-N,0.09,0.004,,,,,,,,,7327.7007,8.3627,1146.6177,8.8444,-959.5625,9.2455,-5284.908,7.566,4108.5233,11.5969,9606.2186,7.634,8264.8777,0.0498,141924299.514,7.586,-70514.556,7.067,N,1962.0,1-Jun-2010,T.D. Johnson and  D. Symochko(a) and  M. Fadil(b) and  and J.K. Tuli,2023-10-18,142cs
